schedule thread 
2018-09-06 17:15:24.003000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'178.881', u'speed': u'0.0000'}
2018-09-06 17:15:24.042000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'178.961', u'speed': u'0.0000'}
2018-09-06 17:15:24.161000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'179.041', u'speed': u'0.0000'}
2018-09-06 17:15:24.189000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'179.081', u'speed': u'0.0000'}
2018-09-06 17:15:24.261000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'179.162', u'speed': u'0.0000'}
2018-09-06 17:15:24.295000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'179.202', u'speed': u'0.0000'}
2018-09-06 17:15:24.364000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'179.282', u'speed': u'0.0000'}
2018-09-06 17:15:24.450000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'179.342', u'speed': u'0.0000'}
2018-09-06 17:15:24.482000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'179.382', u'speed': u'0.0000'}
2018-09-06 17:15:24.556000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'179.462', u'speed': u'0.0000'}
2018-09-06 17:15:24.657000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'179.542', u'speed': u'0.0000'}
2018-09-06 17:15:24.685000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'179.582', u'speed': u'0.0000'}
2018-09-06 17:15:24.716000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'179.642', u'speed': u'0.0000'}
2018-09-06 17:15:24.820000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'179.722', u'speed': u'0.0000'}
2018-09-06 17:15:24.897000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'179.802', u'speed': u'0.0000'}
2018-09-06 17:15:24.930000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'179.842', u'speed': u'0.0000'}
2018-09-06 17:15:25.001000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'179.902', u'speed': u'0.0000'}
2018-09-06 17:15:25.075000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'179.982', u'speed': u'0.0000'}
2018-09-06 17:15:25.111000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'180.002', u'speed': u'0.0000'}
2018-09-06 17:15:25.208000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'180.122', u'speed': u'0.0000'}
2018-09-06 17:15:25.256000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'180.142', u'speed': u'0.0000'}
2018-09-06 17:15:25.322000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'180.222', u'speed': u'0.0000'}
2018-09-06 17:15:25.387000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'180.282', u'speed': u'0.0000'}
2018-09-06 17:15:25.468000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'180.362', u'speed': u'0.0000'}
2018-09-06 17:15:25.493000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'180.402', u'speed': u'0.0000'}
2018-09-06 17:15:25.569000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'180.502', u'speed': u'0.0000'}
2018-09-06 17:15:25.639000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'180.542', u'speed': u'0.0000'}
2018-09-06 17:15:25.706000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'180.622', u'speed': u'0.0000'}
2018-09-06 17:15:25.742000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'180.642', u'speed': u'0.0000'}
2018-09-06 17:15:25.847000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'180.762', u'speed': u'0.0000'}
2018-09-06 17:15:25.877000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'180.782', u'speed': u'0.0000'}
2018-09-06 17:15:25.993000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'180.882', u'speed': u'0.0000'}
2018-09-06 17:15:26.015000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'180.922', u'speed': u'0.0000'}
2018-09-06 17:15:26.077000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'180.982', u'speed': u'0.0000'}
2018-09-06 17:15:26.158000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'181.062', u'speed': u'0.0000'}
2018-09-06 17:15:26.174000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'181.102', u'speed': u'0.0000'}
